Where_at,What_moved,NNI_sp,total_count
"((Ma,(((Ol,Pu),Br),Gr)),Mz);",On;,0,4781
On;,"((Ma,(((Ol,Pu),Br),Gr)),Mz);",0,4781
Mz;,"(Ma,(((Ol,Pu),Br),Gr));",0,4781
"(Ma,(((Ol,Pu),Br),Gr));",Mz;,0,4781
"(((Ol,Pu),Br),Gr);",Ma;,0,1577
Ma;,"(((Ol,Pu),Br),Gr);",0,1577
Gr;,"((Ol,Pu),Br);",0,949
"((Ol,Pu),Br);",Gr;,0,949
Br;,"(Ol,Pu);",0,1390
"(Ol,Pu);",Br;,0,1390
Pu;,Ol;,0,3187
Ol;,Pu;,0,3187
Br;,Gr;,1,683
Gr;,Br;,1,683
"(Ol,Pu);",Ma;,2,412
Ma;,"(Ol,Pu);",2,412
Gr;,Ma;,1,1450
Ma;,Gr;,1,1450
"((Ol,Pu),Br);",Ma;,1,268
Ma;,"((Ol,Pu),Br);",1,268
Br;,Pu;,1,753
Pu;,Br;,1,753
Ol;,Br;,1,161
Br;,Ol;,1,161
Gr;,"(Ol,Pu);",1,252
"(Ol,Pu);",Gr;,1,252
Ol;,Ma;,3,373
Ma;,Ol;,3,373
Gr;,Ol;,2,165
Ol;,Gr;,2,165
Gr;,Pu;,2,177
Pu;,Gr;,2,177
Br;,Ma;,2,168
Ma;,Br;,2,168
Pu;,Ma;,3,143
Ma;,Pu;,3,143
